Ind. Santa Fe,0.0,58.0,17.0,4.0,11.0,2.0,0,7.0,0.0,0,4.0,13.0,0.0,3.0,427.0,346.0,18.0,147.0,106.0
Atl. Nacional,1.0,57.0,21.0,5.0,8.5,7.5,0,6.0,1.0,0,0.5,9.5,0.0,3.0,350.0,269.5,8.5,116.0,41.0
América de Cali,1.0,61.0,13.0,4.0,7.0,2.0,0,9.0,1.0,0,3.0,8.0,0.0,4.0,409.0,323.0,13.0,105.0,32.0
Envigado,0.5,41.0,3.0,0.5,1.5,1.0,0,3.5,1.0,0,2.5,12.5,0.0,2.5,257.0,166.0,14.0,73.5,31.0
Boyacá Chicó,1.0,41.0,10.5,4.5,4.5,1.5,0,3.0,1.5,0,2.5,10.5,0.0,2.5,332.0,236.5,13.5,80.0,43.5
Junior,0.0,53.0,12.0,1.5,5.0,5.5,0,6.0,3.0,0,2.5,11.5,0.0,2.0,412.5,335.0,15.0,98.0,41.0
Once Caldas,1.0,43.5,10.0,5.5,3.0,1.5,0,6.0,2.5,0,2.0,12.5,0.0,1.0,331.0,219.0,14.0,95.0,31.0
Alianza Petrolera,0.5,45.0,8.5,2.0,4.0,2.5,0,3.5,0.5,0,1.0,12.5,0.0,2.0,332.5,241.0,10.5,90.0,37.5
Ind. Medellín,0.0,55.0,7.0,0.0,3.0,4.0,0,3.0,2.0,0,4.0,16.0,0.0,2.0,359.0,268.0,11.0,101.0,62.0
Atl. Bucaramanga,2.0,43.5,13.0,4.5,5.5,3.0,0,7.0,1.0,0,5.5,10.5,0.0,2.5,338.5,261.5,15.0,70.5,33.0
La Equidad,2.0,40.5,13.0,4.0,4.5,4.5,0,5.0,2.5,0,3.0,22.0,1.0,5.5,261.0,172.0,19.0,74.5,31.0
U. Magdalena,0.5,51.5,9.0,1.5,4.5,3.0,0,4.0,1.5,0,5.0,11.0,0.0,2.5,383.0,280.5,17.0,100.5,47.5
Pereira,0.0,55.5,11.0,4.0,4.5,2.5,0,6.5,1.0,0,1.0,9.0,0.0,2.5,396.5,309.5,8.0,85.5,31.5
Dep. Pasto,1.0,32.0,9.0,3.0,3.0,3.0,0,4.0,2.0,0,2.0,12.0,0.0,3.0,246.0,165.0,15.0,61.0,28.0
Deportivo Cali,1.0,49.5,8.0,1.0,4.0,3.0,0,5.0,1.5,0,2.5,10.0,0.0,2.5,429.0,338.0,14.0,103.5,29.0
Jaguares de Córdoba,0.5,39.0,8.0,1.5,5.5,1.0,0,2.0,0.5,0,3.0,8.0,0.0,1.0,311.5,214.5,15.0,90.0,32.0
Millonarios,0.0,51.0,10.5,3.0,5.0,2.5,0,4.0,1.0,0,3.0,10.0,0.5,0.5,466.5,397.0,12.0,90.5,35.5
Aguilas Doradas,1.0,47.5,9.0,3.0,4.0,2.0,0,5.0,1.0,0,2.5,11.5,0.0,2.5,335.0,245.5,15.0,87.5,33.0
Atl. Huila,0.0,40.0,9.0,1.0,6.0,2.0,0,2.0,0.0,0,5.0,11.0,0.0,1.0,312.0,235.0,20.0,81.0,37.0
Tolima,0.0,66.0,11.0,2.0,5.0,4.0,0,10.0,8.0,0,4.0,11.0,0.0,3.0,389.0,312.0,21.0,94.0,49.0
