Aguilas Doradas,2.0,61.6,14.5,4.9,6.7,2.9,16.0,5.0,1.7,20.875,2.8,11.1,0.1,2.6,458.6,362.8,15.9,114.5,59.6
Atl. Bucaramanga,1.0,50.6,14.1,4.5,6.6,3.0,11.25,5.6,2.0,21.875,2.8,10.7,0.2,2.6,382.1,304.3,15.0,107.0,48.3
Atl. Huila,1.1,46.9,12.7,3.8,5.8,3.1,13.11111111111111,5.2,2.3,16.555555555555557,1.8,11.5,0.1,2.7,326.4,243.5,15.5,91.4,48.8
Dep. Pasto,1.3,46.6,14.7,4.8,6.4,3.5,15.0,4.6,2.5,19.75,2.5,12.9,0.1,2.1,328.0,255.7,12.5,95.1,46.3
Deportivo Cali,1.0,54.9,14.6,5.3,6.2,3.1,9.25,6.8,2.2,17.625,2.7,14.2,0.0,3.1,389.7,299.1,17.9,103.1,54.8
Ind. Medellín,1.7,60.6,17.3,5.2,8.1,4.0,11.5,7.9,1.3,19.333333333333332,1.8,11.3,0.0,2.5,460.0,389.2,12.0,114.7,55.0
Millonarios,1.9,57.4,13.5,5.1,5.9,2.5,11.666666666666666,6.1,1.5,22.166666666666668,3.0,11.6,0.0,2.6,468.9,381.1,16.0,112.3,50.0
Once Caldas,1.1,53.1,14.1,4.4,6.4,3.3,10.125,5.3,4.3,19.0,2.8,11.4,0.0,2.8,394.8,317.1,14.5,108.9,52.2
Pereira,1.6,53.6,16.2,5.1,6.3,4.8,8.125,5.6,1.6,17.125,2.8,11.7,0.0,2.7,392.4,315.5,11.9,100.3,46.5
Tolima,1.5,53.0,17.5,6.4,7.7,3.4,9.375,5.0,1.4,20.75,2.9,13.0,0.1,2.9,408.0,332.5,17.3,107.3,49.3
Ind. Santa Fe,1.7,55.0,16.0,6.5,6.1,3.4,9.0,5.5,1.8,22.714285714285715,2.1,12.7,0.1,3.3,391.5,312.2,13.7,106.1,50.8
Alianza Petrolera,1.9,51.5,14.6,6.3,4.9,3.4,10.75,5.0,2.2,14.625,4.5,10.5,0.0,3.1,395.9,328.7,13.0,86.9,46.0
América de Cali,1.7,49.2,17.0,6.1,7.1,3.8,11.75,5.1,1.4,19.375,2.6,12.1,0.3,2.3,356.1,274.3,14.8,114.5,49.7
Junior,0.8,59.9,16.7,4.7,7.3,4.7,10.285714285714286,5.4,1.2,23.714285714285715,2.0,11.8,0.2,2.5,510.1,429.4,16.4,130.1,56.9
Boyacá Chicó,1.6,51.5,13.0,4.0,6.4,2.6,11.25,5.3,1.4,14.875,1.8,13.1,0.0,2.0,394.7,317.1,10.8,101.4,63.4
U. Magdalena,1.3,49.3,15.8,5.0,7.5,3.3,13.0,6.8,1.9,17.0,2.0,13.5,0.3,2.7,345.9,265.0,17.8,84.8,49.4
La Equidad,1.4,51.8,16.7,5.4,6.8,4.5,9.0,6.5,1.1,24.25,2.6,13.5,0.3,3.4,359.9,277.2,13.8,95.6,54.1
Jaguares de Córdoba,1.3,56.8,14.0,4.7,5.5,3.8,15.5,5.2,1.4,12.25,3.7,11.9,0.2,2.7,433.5,364.0,12.5,110.5,61.6
Envigado,0.9,47.2,12.4,3.6666666666666665,5.7,3.7777777777777777,11.25,5.2,0.8,24.25,3.3,13.9,0.1,2.8,313.9,230.8,14.9,95.3,52.4
Atl. Nacional,1.3,49.1,12.1,4.3,5.1,2.7,11.444444444444445,5.3,1.4,18.0,3.2,10.5,0.3,2.7,390.5,316.8,13.0,103.9,52.1
